starting station,Customer,latitude,longitude
Adler Planetarium,879,41.866095,-87.607267
Burnham Harbor,635,41.856268,-87.613348
Dusable Harbor,827,41.885041,-87.612794
Lake Shore Dr & Monroe St,2346,41.880958,-87.616743
Lake Shore Dr & North Blvd,956,41.911722,-87.626804
McClurg Ct & Illinois St,513,41.89102,-87.617532
Michigan Ave & Oak St,915,41.90096039,-87.62377664
Michigan Ave & Washington St,572,41.88389277,-87.62464914
Millennium Park,1229,"         41.8810317	",-87.62408432
Shedd Aquarium,1482,41.86722596,-87.61535539
Streeter Dr & Grand Ave,3420,41.892278,-87.612043
Theater on the Lake,1251,41.926277,-87.630834
