Starting_station,Subscribers,latitude,longitude
Canal St & Adams St,6376,41.879255,-87.639904
Canal St & Madison St,5245,41.882091,-87.639833
Canal St & Monroe St (*),2792,41.880884,-87.639525
Clark St & Elm St,2606,41.902973,-87.63128
Clinton St & Jackson Blvd,5224,41.87803,-87.64105
Clinton St & Lake St,3506,41.885637,-87.641823
Clinton St & Madison St,6828,41.882242,-87.641066
Clinton St & Washington Blvd,8185,41.88338,-87.64117
Columbus Dr & Randolph St,4040,41.88338,-87.64117
Daley Center Plaza,3064,41.884241,-87.629634
Dearborn St & Erie St,3094,41.893992,-87.629318
Dearborn St & Monroe St,3480,41.88131982,-87.62952092
Desplaines St & Kinzie St,2505,41.88871604,-87.64444785
Franklin St & Jackson Blvd,3473,41.87770796,-87.63532114
Franklin St & Monroe St,3976,41.880317,-87.635185
Franklin St & Quincy St,2643,41.878724,-87.634793
Indiana Ave & Roosevelt Rd,2456,41.867888,-87.623041
Kingsbury St & Erie St,2439,41.893882,-87.641711
Kingsbury St & Kinzie St,5109,41.88917683,-87.63850577
Lake Shore Dr & Monroe St,3016,41.880958,-87.616743
Larrabee St & Kingsbury St,3226,41.897764,-87.642884
LaSalle St & Illinois St,2799,41.890755,-87.632009
LaSalle St & Jackson Blvd,4002,41.87817,-87.631985
McClurg Ct & Illinois St,2856,41.89102,-87.6173
Michigan Ave & Lake St,3661,41.886024,-87.624117
Michigan Ave & Washington St,4055,41.88389277,-87.62464914
Millennium Park,2427,41.8810317,-87.62408432
Morgan St & Lake St,2439,41.88548331,-87.65230486
Orleans St & Merchandise Mart Plaza,3068,41.888243,-87.63639
St. Clair St & Erie St,2910,41.894448,-87.622663
Streeter Dr & Grand Ave,5037,41.892278,-87.612043
Theater on the Lake,2827,41.926277,-87.630834
Wabash Ave & Grand Ave,2681,41.890912,-87.626804
Wabash Ave & Roosevelt Rd,2605,41.867227,-87.625961
Wacker Dr & Washington St,2838,41.88327159,-87.63731329
